id,name,image,party,party_id,area,term,source
214,Humberto André Cardoso Duarte,http://www.parlamento.cv/DepImag.aspx?CodDeputado=214,MPD,MPD,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=214
216,Vanusa Tatiana Fernandes Cardoso,http://www.parlamento.cv/DepImag.aspx?CodDeputado=216,PAICV,PAICV,Santiago Norte,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=216
217,Arlindo Nascimento do Rosário,http://www.parlamento.cv/DepImag.aspx?CodDeputado=217,MPD,MPD,Santo Antão,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=217
218,Daniel Augusto Melo Lima Évora,http://www.parlamento.cv/DepImag.aspx?CodDeputado=218,MPD,MPD,Sal,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=218
219,Alexandre José Duarte Fonseca Pacheco de Novais,http://www.parlamento.cv/DepImag.aspx?CodDeputado=219,PAICV,PAICV,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=219
221,Júlio Lopes Correia,http://www.parlamento.cv/DepImag.aspx?CodDeputado=221,PAICV,PAICV,Fogo,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=221
222,Jorge Arcanjo Livramento Nogueira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=222,MPD,MPD,Fogo,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=222
224,Hermes Silva Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=224,PAICV,PAICV,São Vicente,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=224
225,Nelson do Rosário Brito,http://www.parlamento.cv/DepImag.aspx?CodDeputado=225,MPD,MPD,São Nicolau,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=225
226,Eurico Correia Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=226,MPD,MPD,Fogo,8,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=226
