uuid,female,male,other,skip,total
04260c69-cc51-4b15-9c44-b6d475600df5,0,5,0,0,5
0a6c9b01-a860-477d-8818-3d3ea6751f16,0,2,0,0,2
0b1f239f-752c-43f7-a1c4-4cf989904c7d,1,0,0,0,1
0b619ec9-451c-42c7-9744-be2f853f2daf,0,2,0,0,2
0f2276e8-7214-4d5a-9fda-fd323d4b12e2,0,5,0,0,5
10b8c19e-7d42-44ba-a8c1-e6ff540266a6,0,5,0,0,5
12fbe006-22e9-403a-a4eb-e70f18685a34,0,5,0,0,5
18ce8fd4-6ca1-41a3-bfed-071384f0661d,0,5,0,0,5
1a4f0171-3356-4b24-b87d-c11703824068,1,0,0,0,1
1b0806fb-6524-4633-9cfa-87873356a7d4,0,2,0,0,2
20664cd8-2407-4433-a00b-2b9b99c5ab4d,0,2,0,0,2
21facdf3-39a6-4f7e-86d0-7d754e24ac7a,0,5,0,0,5
22930d91-28cb-4ed4-9538-788651b4e488,0,2,0,0,2
2458888f-d9d9-4d1a-a54c-a69af6264fd8,0,5,0,0,5
24b9b68b-12dd-455b-ad30-4338d12e4680,0,5,0,0,5
2542ab6d-bffe-4c54-870a-f43be5cf53c6,0,2,0,0,2
26172f17-b026-4645-b8dc-c463087d016e,0,5,0,0,5
28c16b6a-96a0-4493-b24b-2fdc74c606f8,5,0,0,0,5
3014333c-a95e-411e-9a96-3126d862afc0,0,2,0,0,2
30ee8394-6786-40f8-a36d-c88268f44a40,5,0,0,0,5
3226f943-3e95-44b9-b2e4-c514be2f8643,0,5,0,0,5
396d9cd1-3217-4109-a6d3-0b99f3b97857,0,5,0,0,5
39b7979c-5f35-4233-8307-73a288bb275d,0,5,0,0,5
3a3146a0-9a13-47f8-a9c1-13384580de12,0,2,0,0,2
3b30860d-51b6-41e8-a213-b3c54ead8023,2,0,0,0,2
3dc8a229-9b84-49af-976f-ebaff98f80a0,0,5,0,0,5
4177be7c-c7d5-4aab-97fc-0256b066b3c5,5,0,0,0,5
45bd8445-2f96-4d86-94c6-855e7a659fcd,0,5,0,0,5
4911b4b3-91de-473f-9ff5-fe061361b06c,2,0,0,0,2
4a811a14-0e60-4186-a83f-6dcafd784680,0,5,0,0,5
4f81ba19-62c3-4d5a-83bf-87d87151601f,0,1,0,0,1
4fbffebb-4cb3-4236-94d9-9eb2b07163ed,2,0,0,0,2
50d9421a-5577-4424-a373-5f263e9c9f99,0,5,0,0,5
51c852b3-1a74-4daa-ac8c-21b005947e65,0,2,0,0,2
54bfb964-0956-48c8-bd60-e50b010564e4,2,0,0,0,2
55ef544f-f410-4f42-ad25-d8e2acdd8a0a,2,0,0,0,2
5685bade-c775-4976-bb9b-ab1fd10e4501,0,5,0,0,5
575874ef-efda-4dae-9c9e-12e5807465a9,0,5,0,0,5
59838f24-a306-408d-a86d-3f89b25b8742,0,5,0,0,5
5d2cfdc2-467a-4474-a5b0-9d3a6881a2bd,0,5,0,0,5
5eb6629e-6ab3-4a77-8051-776f2372560a,2,0,0,0,2
623851ab-fdf7-4d77-a340-29bc49fa86d8,0,5,0,0,5
646d57bd-b3a6-40a5-89eb-8d6b9dc72ad5,0,5,0,0,5
6af7243a-d9a3-4aab-a026-a50e20de843a,0,1,0,0,1
70374bf9-004a-4ac8-b624-f52c475dd1f4,0,5,0,0,5
72285db3-a202-47e3-aa1b-7c548c2f7474,0,5,0,0,5
7516770b-8563-4582-b0a8-19237f97ec7d,0,5,0,0,5
757c609a-ae1a-4be5-84fc-45aeed66b813,0,5,0,0,5
7a583d07-273c-44cb-9498-96b8a6abd4cb,0,1,0,0,1
7a919ec7-87a4-4e0f-aa42-ce6a88d514b2,0,5,0,0,5
7b8f7fbd-19ce-4d20-8cca-47c60c048869,0,5,0,0,5
80bad810-293c-4e06-b166-8121dc553f2f,0,2,0,0,2
81f4c369-6718-4433-b7fc-3448b2e07cfc,0,5,0,0,5
826e5ad8-4156-4366-8730-9e274ce9aa9a,1,0,0,0,1
88e2e71d-a53e-48d4-8133-3c61022f9027,0,5,0,0,5
8d7fba09-cc1d-4019-9358-b52de491d505,0,2,0,0,2
8fcfcaf1-6c66-45c2-ab51-7300d3737860,0,5,0,0,5
8fda0fde-265a-4c26-9425-a1c55f830a7f,0,2,0,0,2
9005ff86-502c-4b16-87a9-a19f1cbde734,0,2,0,0,2
950fbbe3-033c-46e5-a34c-6e2c50e8022a,0,1,0,0,1
95bc4d8e-78aa-4d22-8009-92ba04920464,0,5,0,0,5
98c3d674-ac8f-4702-8aba-f324179c5dac,0,2,0,0,2
9b83f076-27b5-4d37-a868-ee712bf68160,2,0,0,0,2
9c8f6ca0-abd0-456e-a2cc-4ffe2183279f,0,2,0,0,2
9dd6dc68-1d2d-4fff-95af-7b88458a66b2,0,5,0,0,5
a6dcb49e-e638-42c2-8c3d-b189e57b60fa,0,5,0,0,5
a6eb41eb-f8ef-42c0-bdd7-375f9fdc18cc,0,2,0,0,2
a9a14eb8-db8e-47ec-9adc-630c8598ac81,0,2,0,0,2
abf14e92-0e89-45e4-99d4-a5833daa2e98,0,5,0,0,5
ad60acff-67cb-4bcb-b53a-e71f9013d239,2,0,0,0,2
b5203f39-e09b-47c7-a3ed-da2009f6ba58,0,5,0,0,5
b57676f9-1781-425d-bd91-1a9b1e704ad2,0,5,0,0,5
b7cc6c6f-2e41-4030-a1e5-21f0cb40f8f6,0,5,0,0,5
b8621007-ee76-4047-b286-d235fe10f2f3,5,0,0,0,5
b8814999-3502-4b57-88cb-76227e7f6c90,2,0,0,0,2
b9df9bfa-fa6c-42c5-926c-a0ad094284b5,0,5,0,0,5
bec1dac0-3fe6-4ae7-9930-c330cc7bd49c,0,5,0,0,5
c492d571-9a28-49a9-9b0f-91fe963fa3bf,5,0,0,0,5
